Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance1
User: diego Date: 2021:02:06 Time: 19:10:17
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","Inj_LH2.W",
"Pa","kg/s",
3.13066e+06,2.70069,
3.13871e+06,2.70069,
3.14676e+06,2.70069,
3.15481e+06,2.70069,
3.16285e+06,2.70069,
3.1709e+06,2.70069,
3.17895e+06,2.70069,
3.187e+06,2.70069,
3.19505e+06,2.70069,
3.20309e+06,2.70069,
3.21114e+06,2.70069,
3.21919e+06,2.70069,
3.22724e+06,2.70069,
3.23528e+06,2.70069,
3.24333e+06,2.70069,
3.25138e+06,2.70069,
3.25943e+06,2.70069,
3.26748e+06,2.70069,
3.27552e+06,2.70069,
3.28357e+06,2.70069,
3.29162e+06,2.70069,
3.29967e+06,2.70069,
3.30772e+06,2.70069,
3.31576e+06,2.70069,
3.32381e+06,2.70069,
3.33186e+06,2.70069,
3.33991e+06,2.70069,
3.34796e+06,2.70069,
3.356e+06,2.70069,
3.36405e+06,2.70069,
3.3721e+06,2.70069,
3.38015e+06,2.70069,
3.3882e+06,2.70069,
3.39624e+06,2.70069,
3.40429e+06,2.70069,
3.41234e+06,2.70069,
3.42039e+06,2.70069,
3.42844e+06,2.70069,
3.43648e+06,2.70069,
3.44453e+06,2.70069,
3.45258e+06,2.70069,
3.46063e+06,2.70069,
3.46868e+06,2.70069,
3.47672e+06,2.70069,
3.48477e+06,2.70069,
3.49282e+06,2.70069,
3.50087e+06,2.70069,
3.50892e+06,2.70069,
3.51696e+06,2.70069,
3.52501e+06,2.70069,
3.53306e+06,2.70069,
3.54111e+06,2.70069,
3.54916e+06,2.70069,
3.5572e+06,2.70069,
3.56525e+06,2.70069,
3.5733e+06,2.70069,
3.58135e+06,2.70069,
3.5894e+06,2.70069,
3.59744e+06,2.70069,
3.60549e+06,2.70069,
3.61354e+06,2.70069,
3.62159e+06,2.70069,
3.62964e+06,2.70069,
3.63768e+06,2.70069,
3.64573e+06,2.70069,
3.65378e+06,2.70069,
3.66183e+06,2.70069,
3.66988e+06,2.70069,
3.67792e+06,2.70069,
3.68597e+06,2.70069,
3.69402e+06,2.70069,
3.70207e+06,2.70069,
3.71012e+06,2.70069,
3.71816e+06,2.70069,
3.72621e+06,2.70069,
3.73426e+06,2.70069,
3.74231e+06,2.70069,
3.75036e+06,2.70069,
3.7584e+06,2.70069,
3.76645e+06,2.70069,
3.7745e+06,2.70069,
3.78255e+06,2.70069,
3.7906e+06,2.70069,
3.79864e+06,2.70069,
3.80669e+06,2.70069,
3.81474e+06,2.70069,
3.82279e+06,2.70069,
3.83083e+06,2.70069,
3.83888e+06,2.70069,
3.84693e+06,2.70069,
3.85498e+06,2.70069,
3.86303e+06,2.70069,
3.87107e+06,2.70069,
3.87912e+06,2.70069,
3.88717e+06,2.70069,
3.89522e+06,2.70069,
3.90327e+06,2.70069,
3.91131e+06,2.70069,
3.91936e+06,2.70069,
3.92741e+06,2.70069,
3.93546e+06,2.70069,
3.94351e+06,2.70069,
3.95155e+06,2.70069,
3.9596e+06,2.70069,
3.96765e+06,2.70069,
3.9757e+06,2.70069,
3.98375e+06,2.70069,
3.99179e+06,2.70069,
3.99984e+06,2.70069,
4.00789e+06,2.70069,
4.01594e+06,2.70069,
4.02399e+06,2.70069,



