Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance1
User: diego Date: 2021:02:06 Time: 22:00:10
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","ControlPanel.c_star",
"Pa","m/s",
3.82279e+06,2305.05,
3.83083e+06,2305.05,
3.83888e+06,2305.05,
3.84693e+06,2305.04,
3.85498e+06,2305.04,
3.86303e+06,2305.04,
3.87107e+06,2305.04,
3.87912e+06,2305.04,
3.88717e+06,2305.03,
3.89522e+06,2305.03,
3.90327e+06,2305.03,
3.91131e+06,2305.03,
3.91936e+06,2305.02,
3.92741e+06,2305.02,
3.93546e+06,2305.02,
3.94351e+06,2305.02,
3.95155e+06,2305.02,
3.9596e+06,2305.01,
3.96765e+06,2305.01,
3.9757e+06,2305.01,
3.98375e+06,2305.01,
3.99179e+06,2305.01,
3.99984e+06,2305,
4.00789e+06,2305,
4.01594e+06,2305,
4.02399e+06,2305,



